service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20140829,20141108
2,0,0,0,0,1,0,0,20140829,20141108
3,0,0,0,0,0,1,0,20140829,20141108
4,0,0,0,0,0,1,1,20140829,20141108
5,0,0,0,0,0,0,1,20140829,20141108
4364,0,0,0,0,0,0,0,20140829,20141108
4366,0,0,0,0,0,0,0,20140829,20141108
4367,0,0,0,0,0,0,0,20140829,20141108
4405,0,0,0,0,0,0,0,20140829,20141108
4415,0,0,0,0,0,0,0,20140829,20141108
4416,0,0,0,0,0,0,0,20140829,20141108
4417,0,0,0,0,0,0,0,20140829,20141108
4418,0,0,0,0,0,0,0,20140829,20141108
4419,0,0,0,0,0,0,0,20140829,20141108
